observation_date,JTS7200HIL
2000-12-01,759
2001-01-01,792
2001-02-01,750
2001-03-01,800
2001-04-01,847
2001-05-01,767
2001-06-01,716
2001-07-01,762
2001-08-01,714
2001-09-01,738
2001-10-01,686
2001-11-01,701
2001-12-01,684
2002-01-01,664
2002-02-01,693
2002-03-01,634
2002-04-01,700
2002-05-01,671
2002-06-01,656
2002-07-01,700
2002-08-01,686
2002-09-01,669
2002-10-01,676
2002-11-01,662
2002-12-01,674
2003-01-01,699
2003-02-01,666
2003-03-01,644
2003-04-01,639
2003-05-01,678
2003-06-01,671
2003-07-01,643
2003-08-01,679
2003-09-01,689
2003-10-01,709
2003-11-01,701
2003-12-01,736
2004-01-01,707
2004-02-01,719
2004-03-01,770
2004-04-01,749
2004-05-01,747
2004-06-01,730
2004-07-01,726
2004-08-01,736
2004-09-01,734
2004-10-01,735
2004-11-01,765
2004-12-01,738
2005-01-01,759
2005-02-01,719
2005-03-01,766
2005-04-01,754
2005-05-01,745
2005-06-01,776
2005-07-01,787
2005-08-01,800
2005-09-01,794
2005-10-01,731
2005-11-01,782
2005-12-01,784
2006-01-01,818
2006-02-01,832
2006-03-01,809
2006-04-01,768
2006-05-01,784
2006-06-01,806
2006-07-01,806
2006-08-01,763
2006-09-01,761
2006-10-01,790
2006-11-01,848
2006-12-01,785
2007-01-01,773
2007-02-01,772
2007-03-01,768
2007-04-01,836
2007-05-01,804
2007-06-01,827
2007-07-01,788
2007-08-01,796
2007-09-01,767
2007-10-01,791
2007-11-01,745
2007-12-01,752
2008-01-01,708
2008-02-01,758
2008-03-01,707
2008-04-01,729
2008-05-01,767
2008-06-01,681
2008-07-01,696
2008-08-01,680
2008-09-01,683
2008-10-01,650
2008-11-01,611
2008-12-01,613
2009-01-01,598
2009-02-01,591
2009-03-01,559
2009-04-01,531
2009-05-01,587
2009-06-01,537
2009-07-01,514
2009-08-01,533
2009-09-01,518
2009-10-01,512
2009-11-01,568
2009-12-01,555
2010-01-01,564
2010-02-01,532
2010-03-01,570
2010-04-01,550
2010-05-01,527
2010-06-01,508
2010-07-01,537
2010-08-01,527
2010-09-01,558
2010-10-01,559
2010-11-01,560
2010-12-01,565
2011-01-01,543
2011-02-01,567
2011-03-01,640
2011-04-01,564
2011-05-01,537
2011-06-01,610
2011-07-01,600
2011-08-01,603
2011-09-01,612
2011-10-01,605
2011-11-01,634
2011-12-01,613
2012-01-01,620
2012-02-01,612
2012-03-01,702
2012-04-01,618
2012-05-01,606
2012-06-01,599
2012-07-01,626
2012-08-01,667
2012-09-01,617
2012-10-01,636
2012-11-01,598
2012-12-01,654
2013-01-01,678
2013-02-01,667
2013-03-01,679
2013-04-01,729
2013-05-01,674
2013-06-01,665
2013-07-01,663
2013-08-01,650
2013-09-01,686
2013-10-01,667
2013-11-01,652
2013-12-01,652
2014-01-01,693
2014-02-01,711
2014-03-01,713
2014-04-01,711
2014-05-01,739
2014-06-01,764
2014-07-01,726
2014-08-01,702
2014-09-01,766
2014-10-01,740
2014-11-01,758
2014-12-01,781
2015-01-01,743
2015-02-01,764
2015-03-01,764
2015-04-01,797
2015-05-01,793
2015-06-01,782
2015-07-01,826
2015-08-01,871
2015-09-01,860
2015-10-01,856
2015-11-01,870
2015-12-01,880
2016-01-01,794
2016-02-01,896
2016-03-01,866
2016-04-01,870
2016-05-01,876
2016-06-01,871
2016-07-01,864
2016-08-01,869
2016-09-01,832
2016-10-01,813
2016-11-01,903
2016-12-01,858
2017-01-01,878
2017-02-01,847
2017-03-01,880
2017-04-01,838
2017-05-01,844
2017-06-01,852
2017-07-01,817
2017-08-01,840
2017-09-01,838
2017-10-01,842
2017-11-01,854
2017-12-01,854
2018-01-01,851
2018-02-01,874
2018-03-01,846
2018-04-01,859
2018-05-01,924
2018-06-01,844
2018-07-01,903
2018-08-01,871
2018-09-01,886
2018-10-01,928
2018-11-01,902
2018-12-01,895
2019-01-01,974
2019-02-01,924
2019-03-01,912
2019-04-01,994
2019-05-01,895
2019-06-01,979
2019-07-01,966
2019-08-01,979
2019-09-01,991
2019-10-01,951
2019-11-01,894
2019-12-01,996
2020-01-01,936
2020-02-01,923
2020-03-01,527
2020-04-01,392
2020-05-01,1734
2020-06-01,1822
2020-07-01,1180
2020-08-01,863
2020-09-01,937
2020-10-01,962
2020-11-01,910
2020-12-01,721
2021-01-01,750
2021-02-01,964
2021-03-01,932
2021-04-01,1177
2021-05-01,1107
2021-06-01,1116
2021-07-01,1275
2021-08-01,1020
2021-09-01,1024
2021-10-01,992
2021-11-01,1018
2021-12-01,1014
2022-01-01,1008
2022-02-01,987
2022-03-01,1011
2022-04-01,1046
2022-05-01,1059
2022-06-01,1049
2022-07-01,1017
2022-08-01,1044
2022-09-01,979
2022-10-01,1034
2022-11-01,952
2022-12-01,934
2023-01-01,993
2023-02-01,954
2023-03-01,893
2023-04-01,898
2023-05-01,952
2023-06-01,936
2023-07-01,858
2023-08-01,918
2023-09-01,1010
2023-10-01,871
2023-11-01,850
2023-12-01,828
2024-01-01,860
2024-02-01,835
2024-03-01,821
2024-04-01,825
2024-05-01,779
2024-06-01,623
2024-07-01,783
2024-08-01,799
2024-09-01,792
2024-10-01,765
2024-11-01,780
2024-12-01,815
2025-01-01,742
2025-02-01,711
2025-03-01,746
2025-04-01,854
2025-05-01,923
2025-06-01,848
2025-07-01,818
